domain,family,complexity,seed,n,c1,c2,mean,std,gen_s,error
cloud,billow,0.800,5,512,2.087481,-0.300836,0.499999,0.098011,45.173195,
cloud,billow,0.800,7,512,1.967400,-0.314984,0.499999,0.111332,35.885633,
cloud,billow,0.800,8,512,1.946448,-0.303507,0.499999,0.098264,37.779566,
cloud,billow,0.800,10,512,1.926382,-0.331467,0.500001,0.111615,30.647607,
cloud,billow,0.800,9,512,2.021425,-0.322915,0.500001,0.087744,36.841371,
cloud,billow,0.800,6,512,2.032826,-0.397372,0.500000,0.116884,48.277152,
cloud,billow,0.900,0,512,2.049966,-0.341549,0.500000,0.113838,31.856287,
cloud,billow,0.800,11,512,1.944102,-0.315878,0.500000,0.107472,36.995290,
cloud,billow,0.900,2,512,2.023463,-0.340882,0.500001,0.096026,35.760464,
cloud,billow,0.900,1,512,1.798928,-0.307031,0.500001,0.096356,37.315581,
cloud,billow,0.900,3,512,2.036660,-0.372877,0.500000,0.088077,38.029359,
cloud,billow,0.900,4,512,1.961941,-0.297139,0.499999,0.110347,40.039350,
cloud,billow,0.900,5,512,2.058100,-0.328142,0.500000,0.095062,35.522136,
cloud,billow,0.900,6,512,2.048911,-0.424395,0.500000,0.117420,35.888171,
cloud,billow,0.900,8,512,1.909063,-0.279437,0.500001,0.091055,33.897936,
cloud,billow,0.900,7,512,1.930213,-0.331420,0.500001,0.107468,38.425673,
cloud,billow,0.900,9,512,2.032799,-0.342390,0.500001,0.085363,36.583892,
cloud,billow,0.900,10,512,1.957049,-0.358764,0.500001,0.122588,37.944369,
cloud,billow,0.900,11,512,1.984785,-0.344295,0.500001,0.108484,35.740158,
cloud,billow,1.000,2,512,2.028713,-0.366145,0.500000,0.093334,37.715013,
cloud,billow,1.000,4,512,1.988077,-0.341263,0.500001,0.109389,35.907790,
cloud,billow,1.000,1,512,1.824514,-0.293098,0.499999,0.104359,43.334194,
cloud,billow,1.000,0,512,2.042255,-0.378631,0.499999,0.112090,52.493640,
cloud,billow,1.000,3,512,2.063327,-0.382536,0.499999,0.086129,53.618330,
fluid,curl_weave,0.000,0,512,1.931710,-0.019831,0.514377,0.177480,5.795603,
cloud,billow,1.000,6,512,2.106703,-0.400639,0.499999,0.111211,38.525195,
cloud,billow,1.000,7,512,1.944820,-0.346960,0.500001,0.105971,34.453475,
