family,complexity,seed,n,c1,c2,beta,aniso,mean,rms
agate,0.375,3,512,1.518307386047133,-0.1443643764102196,2.950416502876524,0.0488230950211543,0.5000086042322762,0.1556271346840218
agate,0.375,4,512,1.5642461896336364,-0.1189236024193676,2.918096089093145,0.0496615493830533,0.5000639824758893,0.1544529735021604
agate,0.375,5,512,1.4576108196073994,-0.1182589166394496,2.858663578210246,0.0649841891284089,0.4999561260712958,0.1568323665923316
agate,0.375,6,512,1.520971892909752,-0.1392416858459079,2.9377296013381704,0.0651206222831823,0.5006290642161539,0.155888583589475
agate,0.375,7,512,1.5326462445905176,-0.1221355646779154,2.9285107416850846,0.0615369200121546,0.5007201269446723,0.1541079398624344
agate,0.375,8,512,1.4886106885880883,-0.1083166586758379,2.8770499824033084,0.0499694431899185,0.5006679208674694,0.1534781949954309
agate,0.375,9,512,1.4917098964828404,-0.1213168953686691,2.886457681827026,0.0609054992794699,0.499757651149025,0.1532022339272565
agate,0.375,10,512,1.5044489559971284,-0.1108409508071352,2.897984365295972,0.0507476825111462,0.5004835099765654,0.1551669205507299
agate,0.375,11,512,1.4619705710662507,-0.1269326820365189,2.8772263199458394,0.0687829181792492,0.5005639669059269,0.1554750680374846
agate,0.375,12,512,1.511064580034471,-0.1295597483892618,2.9388883330723563,0.0540768586180437,0.5004778095331854,0.1553386006846657
agate,0.375,13,512,1.5473731150382626,-0.1150873310272734,2.952657339752564,0.0507930871576558,0.5003494275209259,0.1531613042422194
agate,0.375,14,512,1.517841545523062,-0.1360693102707049,2.9299241643089404,0.0497880078235509,0.5006478271463802,0.1558462567868814
agate,0.375,15,512,1.5887547015634809,-0.1165729984456033,2.912757813556505,0.0632824012088698,0.5002789003920987,0.1563514978965625
agate,0.5,0,512,1.4355687508071713,-0.1295139174022931,2.677599839104323,0.0811365459132051,0.5008106672010006,0.1456660300864509
agate,0.5,1,512,1.381999866950407,-0.1583174456364658,2.624651871815983,0.0797214795506374,0.5011360339794896,0.1486334941379147
agate,0.5,2,512,1.3689574111949194,-0.1436222522004114,2.636166893634589,0.0777104825859276,0.5007215611789045,0.1493486530112055
agate,0.5,3,512,1.4235972496535485,-0.1666223227904951,2.6913313444910782,0.0602167493880331,0.5006749868182024,0.1480227326116627
agate,0.5,4,512,1.4041260008746304,-0.1497731043784667,2.6167515136161863,0.0812134845564099,0.5003195220508808,0.1480836809430772
agate,0.5,5,512,1.3571031261442796,-0.1361280775028336,2.576804025171707,0.0967835497022579,0.5003960532211195,0.1499030011432377
agate,0.5,6,512,1.4258685367246802,-0.1481657292429246,2.6789146958989947,0.0751164409215542,0.5019875647062237,0.143426513019779
agate,0.5,7,512,1.4408134542243145,-0.1420925286527015,2.665028660310845,0.0769707976244714,0.5007534037598999,0.1465136590774794
